agga	¹ax xa#
aggi	¹ax xi#
aggu	¹ax xu#
alla	¹aɬ ɬa#
alli	¹aɬ ɬi#
allu	¹aɬ ɬu#
aqa	ɑ qa#
aqi	ɑ qi#
aqqa	¹ɑq qa#
aqqi	¹ɑq qi#
aqqu	¹ɑq qu#
aqu	ɑ qu#
arra	¹ɑχ χa#
arri	¹ɑχ χi#
arru	¹ɑχ χu#
eqa	ɜ qa#
eqi	ɜ qi#
eqqa	¹ɜq qa#
eqqi	¹ɜq qi#
eqqu	¹ɜq qu#
equ	ɜ qu#
erra	¹ɜχ χa#
erri	¹ɜχ χi#
erru	¹ɜχ χu#
igga	¹ix xa#
iggi	¹ix xi#
iggu	¹ix xu#
illa	¹iɬ ɬa#
illi	¹iɬ ɬi#
illu	¹iɬ ɬu#
oqa	ɔ qa#
oqi	ɔ qi#
oqqa	¹ɔq qa#
oqqi	¹ɔq qi#
oqqu	¹ɔq qu#
oqu	ɔ qu#
orra	¹ɔχ χa#
orri	¹ɔχ χi#
orru	¹ɔχ χu#
ugga	¹ux xa#
uggi	¹ux xi#
uggu	¹ux xu#
ulla	¹uɬ ɬa#
ulli	¹uɬ ɬi#
ullu	¹uɬ ɬu#
