## Kapitel 4 - 17 new verbal wordforms plus 8 known from lesson 3 = 25 verbal wordforms ##
# Nye N = ateq, pisiniarfik, pizza, tii, whisky
# Nyt derivativ = GUSUP

#Brand new verbs
pisiniarfik+QAR+Der/nv+Gram/IV+V+Ind+3Sg	pisiniarfeqarpoq
ateq+QAR+Der/nv+Gram/IV+Sem/be_name+V+Ind+1Sg	ateqarpunga
ateq+QAR+Der/nv+Gram/IV+Sem/be_name+V+Ind+3Sg	ateqarpoq
tii+iSem/drink+TUR+Der/nv+Gram/IV+Sem/fn:drink+Gram/IV+V+Ind+1Sg	tiitorpunga
tii+iSem/drink+TUR+Der/nv+Gram/IV+Sem/fn:drink+Gram/IV+V+Ind+3Sg	tiitorpoq
whisky+iSem/drink+TUR+Der/nv+Gram/IV+Sem/fn:drink+Gram/IV+V+Ind+1Sg	whiskytorpunga
whisky+iSem/drink+TUR+Der/nv+Gram/IV+Sem/fn:drink+Gram/IV+V+Ind+3Sg	whiskytorpoq
pizza+iSem/food-h+TUR+Der/nv+Sem/eat+Gram/IV+Gram/IV+V+Ind+1Sg	pizzatorpunga
pizza+iSem/food-h+TUR+Der/nv+Sem/eat+Gram/IV+V+Ind+3Sg	pizzatorpoq

ateq+QAR+Der/nv+Gram/IV+iSem/be_name+GUSUP+Der/vv+V+Ind+1Sg	ateqarusuppunga
ateq+QAR+Der/nv+Gram/IV+iSem/be_name+GUSUP+Der/vv+V+Ind+3Sg	ateqarusuppoq
tii+iSem/drink+TUR+Der/nv+Gram/IV+iSem/fn:drink+GUSUP+Der/vv+Gram/IV+V+Ind+1Sg	tiitorusuppunga
tii+iSem/drink+TUR+Der/nv+Gram/IV+iSem/fn:drink+GUSUP+Der/vv+Gram/IV+V+Ind+3Sg	tiitorusuppoq
whisky+TUR+Der/nv+Gram/IV+Sem/fn:drink+GUSUP+Der/vv+Gram/IV+V+Ind+1Sg	whiskytorusuppunga
whisky+TUR+Der/nv+Gram/IV+Sem/fn:drink+GUSUP+Der/vv+Gram/IV+V+Ind+3Sg	whiskytorusuppoq
pizza+iSem/food-h+TUR+Der/nv+Gram/IV+Sem/eat+GUSUP+Der/vv+Gram/IV+V+Ind+1Sg	pizzatorusuppunga
pizza+iSem/food-h+TUR+Der/nv+Gram/IV+Sem/eat+GUSUP+Der/vv+Gram/IV+V+Ind+3Sg	pizzatorusuppoq

#GUSUP added to known verbal stems
aallar+Gram/IV+iSem/run+GUSUP+Der/vv+Gram/IV+V+Ind+1Sg	aallarusuppunga
aallar+Gram/IV+iSem/run+GUSUP+Der/vv+Gram/IV+V+Ind+3Sg	aallarusuppoq
tikip+Gram/IV+iSem/reach+GUSUP+Der/vv+V+Ind+1Sg	tikikkusuppunga
tikip+Gram/IV+iSem/reach+GUSUP+Der/vv+V+Ind+3Sg	tikikkusuppoq
ilinniar+Gram/IV+TIP+Der/vv+Gram/TV+iSem/teach+GUSUP+Der/vv+Gram/TV+V+Ind+1Sg+3SgO	ilinniartikkusuppara
ilinniar+Gram/IV+TIP+Der/vv+Gram/TV+iSem/teach+GUSUP+Der/vv+Gram/TV+V+Ind+1Sg+2PlO	ilinniartikkusuppassi
naapip+Gram/TV+iSem/encounter+GUSUP+Der/vv+V+Ind+1Sg+3SgO	naapikkusuppara
naapip+Gram/TV+iSem/encounter+GUSUP+Der/vv+V+Ind+1Sg+2PlO	naapikkusuppassi




Kalaallit Nunaat+Sem/Geo+Prop+Abs+Sg+3PlPoss	Kalaallit Nunaat
Kalaallit Nunaat+Sem/Geo+Prop+Trm+Sg+3PlPoss	Kalaallit Nunaannut
Kalaallit Nunaat+Sem/Geo+Prop+Abl+Sg+3PlPoss	Kalaallit Nunaannit

Aasiaat+Sem/Geo+Prop+Abs+Pl	Aasiaat
Aasiaat+Sem/Geo+Prop+Trm+Pl	Aasiannut
Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit

Kangerlussuaq+Sem/Geo+Prop+Abs+Sg	Kangerlussuaq
Kangerlussuaq+Sem/Geo+Prop+Trm+Sg	Kangerlussuarmut
Kangerlussuaq+Sem/Geo+Prop+Abl+Sg	Kangerlussuarmit

Maniitsoq+Sem/Geo+Prop+Abs+Sg	Maniitsoq
Maniitsoq+Sem/Geo+Prop+Trm+Sg	Maniitsumut
Maniitsoq+Sem/Geo+Prop+Abl+Sg	Maniitsumit

Nanortalik+Sem/Geo+Prop+Abs+Sg	Nanortalik
Nanortalik+Sem/Geo+Prop+Trm+Sg	Nanortalimmut
Nanortalik+Sem/Geo+Prop+Abl+Sg	Nanortalimmit

Narsaq+Sem/Geo+Prop+Abs+Sg	Narsaq
Narsaq+Sem/Geo+Prop+Trm+Sg	Narsamut
Narsaq+Sem/Geo+Prop+Abl+Sg	Narsamit

Narsarsuaq+Sem/Geo+Prop+Abs+Sg	Narsarsuaq
Narsarsuaq+Sem/Geo+Prop+Trm+Sg	Narsarsuarmut
Narsarsuaq+Sem/Geo+Prop+Abl+Sg	Narsarsuarmit

Nuuk+Sem/Geo+Prop+Abs+Sg	Nuuk
Nuuk+Sem/Geo+Prop+Trm+Sg	Nuummut
Nuuk+Sem/Geo+Prop+Abl+Sg	Nuummit

Paamiut+Sem/Geo+Prop+Abs+Pl	Paamiut
Paamiut+Sem/Geo+Prop+Trm+Pl	Paamiunut
Paamiut+Sem/Geo+Prop+Abl+Pl	Paamiunit

Pituffik+Sem/Geo+Prop+Abs+Sg	Pituffik
Pituffik+Sem/Geo+Prop+Trm+Sg	Pituffimmut
Pituffik+Sem/Geo+Prop+Abl+Sg	Pituffimmit

Qaanaaq+Sem/Geo+Prop+Abs+Sg	Qaanaaq
Qaanaaq+Sem/Geo+Prop+Trm+Sg	Qaanaamut
Qaanaaq+Sem/Geo+Prop+Abl+Sg	Qaanaamit

Qaqortoq+Sem/Geo+Prop+Abs+Sg	Qaqortoq
Qaqortoq+Sem/Geo+Prop+Trm+Sg	Qaqortumut
Qaqortoq+Sem/Geo+Prop+Abl+Sg	Qaqortumit

Danmarki+Sem/Geo+Prop+Abs+Sg	Danmarki
Danmarki+Sem/Geo+Prop+Trm+Sg	Danmarkimut
Danmarki+Sem/Geo+Prop+Abl+Sg	Danmarkimit

Sisimiut+Sem/Geo+Prop+Abs+Pl	Sisimiut
Sisimiut+Sem/Geo+Prop+Trm+Pl	Sisimiunut
Sisimiut+Sem/Geo+Prop+Abl+Pl	Sisimiunit

Tasiilaq+Sem/Geo+Prop+Abs+Sg	Tasiilaq
Tasiilaq+Sem/Geo+Prop+Trm+Sg	Tasiilamut
Tasiilaq+Sem/Geo+Prop+Abl+Sg	Tasiilamit

Upernavik+Sem/Geo+Prop+Abs+Sg	Upernavik
Upernavik+Sem/Geo+Prop+Trm+Sg	Upernavimmut
Upernavik+Sem/Geo+Prop+Abl+Sg	Upernavimmit

Uummannaq+Sem/Geo+Prop+Abs+Sg	Uummannaq
Uummannaq+Sem/Geo+Prop+Trm+Sg	Uummannamut
Uummannaq+Sem/Geo+Prop+Abl+Sg	Uummannamit







## Kapitel 3 - 68 nye ordformer + 17 Lok på stammerne fra 2: Kumuleret 136 ordformer ##
#Lok-læsninger af de 17 Prop introduceret i forrige kapitel
Kalaallit Nunaat+Sem/Geo+Prop+Lok+Sg+3PlPoss	Kalaallit Nunaanni
Aasiaat+Sem/Geo+Prop+Lok+Pl	Aasianni
Kangerlussuaq+Sem/Geo+Prop+Lok+Sg	Kangerlussuarmi
Maniitsoq+Sem/Geo+Prop+Lok+Sg	Maniitsumi
Nanortalik+Sem/Geo+Prop+Lok+Sg	Nanortalimmi
Narsaq+Sem/Geo+Prop+Lok+Sg	Narsami
Narsarsuaq+Sem/Geo+Prop+Lok+Sg	Narsarsuarmi
Nuuk+Sem/Geo+Prop+Lok+Sg	Nuummi
Paamiut+Sem/Geo+Prop+Lok+Pl	Paamiuni
Pituffik+Sem/Geo+Prop+Lok+Sg	Pituffimmi
Qaanaaq+Sem/Geo+Prop+Lok+Sg	Qaanaami
Qaqortoq+Sem/Geo+Prop+Lok+Sg	Qaqortumi
Danmarki+Sem/Geo+Prop+Lok+Sg	Danmarkimi
Sisimiut+Sem/Geo+Prop+Lok+Pl	Sisimiuni
Tasiilaq+Sem/Geo+Prop+Lok+Sg	Tasiilami
Upernavik+Sem/Geo+Prop+Lok+Sg	Upernavimmi
Uummannaq+Sem/Geo+Prop+Lok+Sg	Uummannami

#Nyt stof i kapitel 3. Uønskede læsninger af Abs-formerne er filtreret væk #
Nuka+Sem/Mask+Sem/Hum+Prop+Abs+Sg	Nuka
Nuka+Sem/Mask+Sem/Hum+Prop+Trm+Sg	Nukamut
Nuka+Sem/Mask+Sem/Hum+Prop+Abl+Sg	Nukamit
Nuka+Sem/Mask+Sem/Hum+Prop+Lok+Sg	Nukami

Arnannguaq+Sem/Fem+Sem/Hum+Prop+Abs+Sg	Arnannguaq
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Trm+Sg	Arnannguamut
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Abl+Sg	Arnannguamit
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Lok+Sg	Arnannguami

Malik+Sem/Mask+Sem/Hum+Prop+Abs+Sg	Malik
Malik+Sem/Mask+Sem/Hum+Prop+Trm+Sg	Malimmut
Malik+Sem/Mask+Sem/Hum+Prop+Abl+Sg	Malimmit
Malik+Sem/Mask+Sem/Hum+Prop+Lok+Sg	Malimmi

