#Corpus til anden øvelse - Nyt i lektion 5 inkl. kendte prop med ny Ins-endelse. Inddrager også kendte Prop med Abs-endelse fra kumuleret corpus
ateq+QAR+Sem/be_name+V+Ind+1Sg	ateqarpunga
ateq+QAR+Sem/be_name+V+Ind+3Sg	ateqarpoq
illu+iSem/build+QAR+Sem/lodge+V+Ind+1Sg	illoqarpunga
illu+iSem/build+QAR+Sem/lodge+V+Ind+3Sg	illoqarpoq
najugaq+QAR+Sem/lodge+V+Ind+1Sg	najugaqarpunga
najugaq+QAR+Sem/lodge+V+Ind+3Sg	najugaqarpoq
nuliaq+iSem/Hfam+QAR+V+Ind+1Sg	nuliaqarpunga
nuliaq+iSem/Hfam+QAR+V+Ind+3Sg	nuliaqarpoq
suli+Sem/work+V+Ind+1Sg	sulivunga
suli+Sem/work+V+Ind+3Sg	sulivoq
Nunatta Atuagaateqarfia+Sem/inst+Sem/Hum+Prop+Ins+Sg+3SgPoss	Nunatta Atuagaateqarfianik
Katuaq+Sem/inst+Sem/Hum+Prop+Ins+Sg	Katuamik
Ilisimatusarfik+Sem/inst+Sem/Hum+Prop+Ins+Sg	Ilisimatusarfimmik
Royal Greenland+Sem/inst+Sem/Hum+Prop+Ins+Sg	Royal Greenlandimik
Rosing+Sem/Hum+Prop+Ins+Sg	Rosingimik
Pisiffik+Sem/inst+Sem/Hum+Prop+Ins+Sg	Pisiffimmik
Egede+Sem/Hum+Prop+Ins+Sg	Egedemik
Olsen+Sem/Hum+Prop+Ins+Sg	Olsenimik
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Aputsiamik
Aviaaja+Sem/Fem+Sem/Hum+Prop+Ins+Sg	Aviaajamik
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Ins+Sg	Arnannguamik
Malik+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Malimmik
Nuka+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Nukamik

#Kumuleret corpus - nominer

Aasiaat+Sem/Geo+Prop+Abs+Pl	Aasiaat
Aasiaat+Sem/Geo+Prop+Trm+Pl	Aasiannut
Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+Lok+Pl	Aasianni

Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abs+Sg	Aputsiaq
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Trm+Sg	Aputsiamut
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Abl+Sg	Aputsiamit
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Lok+Sg	Aputsiami
Aputsiaq+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Aputsiamik

Arnannguaq+Sem/Fem+Sem/Hum+Prop+Abs+Sg	Arnannguaq
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Trm+Sg	Arnannguamut
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Abl+Sg	Arnannguamit
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Lok+Sg	Arnannguami
Arnannguaq+Sem/Fem+Sem/Hum+Prop+Ins+Sg	Arnannguamik

Aviaaja+Sem/Fem+Sem/Hum+Prop+Abs+Sg	Aviaaja
Aviaaja+Sem/Fem+Sem/Hum+Prop+Trm+Sg	Aviaajamut
Aviaaja+Sem/Fem+Sem/Hum+Prop+Abl+Sg	Aviaajamit
Aviaaja+Sem/Fem+Sem/Hum+Prop+Lok+Sg	Aviaajami
