Aasiaalli	Aasiaat+LI
Aasiaallu	Aasiaat+LU
Aasiaat	Aasiaat
Aasiammioqarpoq	Aasiaat+MIU-QAR+vuq
Aasiammioqarporli	Aasiaat+MIU-QAR+vuq+LI
Aasiammioqarporlu	Aasiaat+MIU-QAR+vuq+LU
Aasiammioqassavoq	Aasiaat+MIU-QAR-SSA+vuq
Aasiammioqassavorli	Aasiaat+MIU-QAR-SSA+vuq+LI
Aasiammioqassavorlu	Aasiaat+MIU-QAR-SSA+vuq+LU
Aasiammiu	Aasiaat+MIU
Aasiammiuli	Aasiaat+MIU+LI
Aasiammiulu	Aasiaat+MIU+LU
Aasiammiumi	Aasiaat+MIU-mi
Aasiammiumik	Aasiaat+MIU-mik
Aasiammiumili	Aasiaat+MIU-mi+LI
Aasiammiumilli	Aasiaat+MIU-mik+LI
Aasiammiumillu	Aasiaat+MIU-mik+LU
Aasiammiumilu	Aasiaat+MIU-mi+LU
Aasiammiuussavoq	Aasiaat+MIU-U-SSA+vuq
Aasiammiuussavorli	Aasiaat+MIU-U-SSA+vuq+LI
Aasiammiuussavorlu	Aasiaat+MIU-U-SSA+vuq+LU
Aasiammiuussavunga	Aasiaat+MIU-U-SSA+vuŋa
Aasiammiuussavungali	Aasiaat+MIU-U-SSA+vuŋa+LI
Aasiammiuuvoq	Aasiaat+MIU-U+vuq
Aasiammiuuvorli	Aasiaat+MIU-U+vuq+LI
Aasiammiuuvorlu	Aasiaat+MIU-U+vuq+LU
Aasiammiuuvunga	Aasiaat+MIU-U+vuŋa
Aasiammiuuvungali	Aasiaat+MIU-U+vuŋa+LI
Aasiammiuuvungalu	Aasiaat+MIU-U+vuŋa+LU
Avanersuaq	Avanersuaq
Avanersuarli	Avanersuaq+LI
Avanersuarlu	Avanersuaq+LU
Avanersuarmi	Avanersuaq+mi
Avanersuarmik	Avanersuaq+mik
Avanersuarmili	Avanersuaq+mi+LI
Avanersuarmilli	Avanersuaq+mik+LI
Avanersuarmillu	Avanersuaq+mik+LU
Avanersuarmilu	Avanersuaq+mi+LU
Avanersuarmioqarpoq	Avanersuaq+MIU-QAR+vuq
Avanersuarmioqarporli	Avanersuaq+MIU-QAR+vuq+LI
Avanersuarmioqarporlu	Avanersuaq+MIU-QAR+vuq+LU
Avanersuarmioqassavoq	Avanersuaq+MIU-QAR-SSA+vuq
Avanersuarmioqassavorli	Avanersuaq+MIU-QAR-SSA+vuq+LI
Avanersuarmioqassavorlu	Avanersuaq+MIU-QAR-SSA+vuq+LU
Avanersuarmiu	Avanersuaq+MIU
Avanersuarmiuli	Avanersuaq+MIU+LI
Avanersuarmiulu	Avanersuaq+MIU+LU
Avanersuarmiumi	Avanersuaq+MIU-mi
Avanersuarmiumik	Avanersuaq+MIU-mik
Avanersuarmiumili	Avanersuaq+MIU-mi+LI
Avanersuarmiumilu	Avanersuaq+MIU-mi+LU
Avanersuarmiumilli	Avanersuaq+MIU-mik+LI
Avanersuarmiumillu	Avanersuaq+MIU-mik+LU
Avanersuarmiuussavoq	Avanersuaq+MIU-U-SSA+vuq
Avanersuarmiuussavorli	Avanersuaq+MIU-U-SSA+vuq+LI
Avanersuarmiuussavunga	Avanersuaq+MIU-U-SSA+vuŋa
Avanersuarmiuussavungali	Avanersuaq+MIU-U-SSA+vuŋa+LI
Avanersuarmiuussavungalu	Avanersuaq+MIU-U-SSA+vuŋa+LU
Avanersuarmiuuvoq	Avanersuaq+MIU-U+vuq
Avanersuarmiuuvorli	Avanersuaq+MIU-U+vuq+LI
Avanersuarmiuuvorlu	Avanersuaq+MIU-U+vuq+LU
Avanersuarmiuuvunga	Avanersuaq+MIU-U+vuŋa
Avanersuarmiuuvungali	Avanersuaq+MIU-U+vuŋa+LI
Avanersuarmiuuvungalu	Avanersuaq+MIU-U+vuŋa+LU
Esbjerg	Esbjerg
Esbjergili	Esbjerg+LI
Esbjergilu	Esbjerg+LU
Esbjergimi	Esbjerg-mi
Esbjergimik	Esbjerg-mik
Esbjergimili	Esbjerg-mi+LI
Esbjergimilli	Esbjerg-mik+LI
Esbjergimillu	Esbjerg-mik+LU
Esbjergimilu	Esbjerg-mi+LU
Esbjergimioqarpoq	Esbjerg+MIU-QAR+vuq
Esbjergimioqarporli	Esbjerg+MIU-QAR+vuq+LI
Esbjergimioqarporlu	Esbjerg+MIU-QAR+vuq+LU
Esbjergimioqassavoq	Esbjerg+MIU-QAR-SSA+vuq
Esbjergimioqassavorli	Esbjerg+MIU-QAR-SSA+vuq+LI
Esbjergimioqassavorlu	Esbjerg+MIU-QAR-SSA+vuq+LU
Esbjergimiu	Esbjerg+MIU
Esbjergimiuli	Esbjerg+MIU+LI
Esbjergimiulu	Esbjerg+MIU+LU
Esbjergimiumi	Esbjerg+MIU-mi
Esbjergimiumik	Esbjerg+MIU-mik
Esbjergimiumili	Esbjerg+MIU-mi+LI
Esbjergimiumilli	Esbjerg+MIU-mik+LI
Esbjergimiumillu	Esbjerg+MIU-mik+LU
Esbjergimiumilu	Esbjerg+MIU-mi+LU
Esbjergimiuussavoq	Esbjerg+MIU-U-SSA+vuq
Esbjergimiuussavorli	Esbjerg+MIU-U-SSA+vuq+LI
Esbjergimiuussavorlu	Esbjerg+MIU-U-SSA+vuq+LU
Esbjergimiuussavunga	Esbjerg+MIU-U-SSA+vuŋa
Esbjergimiuussavungali	Esbjerg+MIU-U-SSA+vuŋa+LI
Esbjergimiuussavungalu	Esbjerg+MIU-U-SSA+vuŋa+LU
Esbjergimiuuvoq	Esbjerg+MIU-U+vuq
Esbjergimiuuvorli	Esbjerg+MIU-U+vuq+LI
Esbjergimiuuvorlu	Esbjerg+MIU-U+vuq+LU
Esbjergimiuuvunga	Esbjerg+MIU-U+vuŋa
Esbjergimiuuvungali	Esbjerg+MIU-U+vuŋa+LI
Esbjergimiuuvungalu	Esbjerg+MIU-U+vuŋa+LU
Finland	Finland
Finlandili	Finland+LI
Finlandilu	Finland+LU
Finlandimi	Finland-mi
Finlandimik	Finland-mik
