01	2008-mi sulivunga, 2009-mili ____	2008-mi sulivunga, 2009-mili sulineruvunga
02	Taamani asavakkit, massakkulli ____	Taamani asavakkit, massakkulli asaneruakkit
03	Suli atorpoq, taamanili ___	Suli atorpoq, taamanili atorneruvoq
04	Nuummi sulisarpunga, Finlandimili ___	Nuummi sulisarpunga, Finlandimili sulinerusarpunga
05	Arnat qarasaasialerisarput, angutilli ___	Arnat qarasaasialerisarput, angutilli qarasaasialerinerusarput
06	Nuummi taxartartut Skodat atorpaat, Tysklandimili Mercedesit ____	Nuummi taxartartut Skodat atorpaat, Tysklandimili Mercedesit atorneruaat
07	Narsarsuaq aqqutigisarpara, Kangerlussuarli ___	Narsarsuaq aqqutigisarpara, Kangerlussuarli aqqutiginerusarpara
08	Ilisimatusarfimmi atuakkialerisarpunga, oqaasileri-___	Ilisimatusarfimmi atuakkialerisarpunga, oqaasilerinerusarpungali
09	Kalaallit ilaat qallunaatut atuartarput, ilaalli kalaallisut ____	Kalaallit ilaat qallunaatut atuartarput, ilaalli kalaallisut atuarnerusarput
10	Aasiammiut eqqaamavakka, Qaqortormiulli ____	Aasiammiut eqqaamavakka, Qaqortormiulli eqqaamaneruakka
11	Taanna ilinniartippara, ikinngutaali ___	Taanna ilinniartippara, ikinngutaali ilinniartinneruara
12	Isumaqarpunga taamani nalunartoq, isumaqarpungali ullumi ____	Isumaqarpunga taamani nalunartoq, isumaqarpungali ullumi nalunarnerusoq
13	Inuit ikinngutiga taasarpaat, ikinngutimali nulia ____	Inuit ikinngutiga taasarpaat, ikinngutimali nulia taanerusarpaat
14	2008-mi sulivunga, 2010-mili ___	2008-mi sulivunga, 2010-mili sulinerussavunga	NB: Brug NIRU=SSA
15	Ullumi meeqqat qarasaasialerisarput, taamanili atuar-___	Ullumi meeqqat qarasaasialerisarput, taamanili atuarnerusarput
16	"Rigoletto" sivikippoq, isumaqarpungali "La Traviata" ___	"Rigoletto" sivikippoq, isumaqarpungali "La Traviata" sivikinnerusoq
17	2008-mi sulivunga, isumaqarpungali 2010-mi ___	2008-mi sulivunga, isumaqarpungali 2010-mi sulinerussallunga	NB: Brug NIRU=SSA
18	Tasiilami Illoqqortoormiunilu inoqarpallaanngilaq, Nuummili ___	Tasiilami Illoqqortoormiunilu inoqarpallaanngilaq, Nuummili inoqarneruvoq
