aappaagu	aappaagu<Partikel
aap	aap<Partikel
anaana	anaana<Ental<Absolut
anaanamut	anaana<Ental<Terminalis
anaananik	anaana<Flertal<Instrumentalis
anaanani	anaana<Flertal<Lokalis
anaanalerigaluarpugut	anaana-LIRI+GALUAR<Indikativ<vi
anaanalerigaluarpit	anaana-LIRI+GALUAR<Interrogativ<du
anaanalerigaluartunga	anaana-LIRI+GALUAR<Participium<jeg
anaanalerivoq	anaana-LIRI<Indikativ<han
anaanalerivunga	anaana-LIRI<Indikativ<jeg
anaanalerivugut	anaana-LIRI<Indikativ<vi
anaanalerivit	anaana-LIRI<Interrogativ<du
anaanalerisunga	anaana-LIRI<Participium<jeg
anaanalerisaraluarpoq	anaana-LIRI+TAR+GALUAR<Indikativ<han
anaanalerisaraluarpunga	anaana-LIRI+TAR+GALUAR<Indikativ<jeg
anaanalerisaraluarpugut	anaana-LIRI+TAR+GALUAR<Indikativ<vi
anaanalerisaraluarpit	anaana-LIRI+TAR+GALUAR<Interrogativ<du
anaanalerisaraluartunga	anaana-LIRI+TAR+GALUAR<Participium<jeg
anaanalerisarpoq	anaana-LIRI+TAR<Indikativ<han
anaanalerisarpunga	anaana-LIRI+TAR<Indikativ<jeg
anaanalerisarpugut	anaana-LIRI+TAR<Indikativ<vi
anaanalerisarpit	anaana-LIRI+TAR<Interrogativ<du
anaanalerisartunga	anaana-LIRI+TAR<Participium<jeg
anaananngoraluarpit	anaana-NNGUR+GALUAR<Interrogativ<du
anaananngoraluartunga	anaana-NNGUR+GALUAR<Participium<jeg
anaananngorpoq	anaana-NNGUR<Indikativ<han
anaananngorpunga	anaana-NNGUR<Indikativ<jeg
anaananngorpit	anaana-NNGUR<Interrogativ<du
anaananngortunga	anaana-NNGUR<Participium<jeg
anaananngortaraluarpoq	anaana-NNGUR+TAR+GALUAR<Indikativ<han
anaananngortaraluarpugut	anaana-NNGUR+TAR+GALUAR<Indikativ<vi
anaananngortaraluarpit	anaana-NNGUR+TAR+GALUAR<Interrogativ<du
anaananngortaraluartunga	anaana-NNGUR+TAR+GALUAR<Participium<jeg
anaananngortarpugut	anaana-NNGUR+TAR<Indikativ<vi
anaananngortarpit	anaana-NNGUR+TAR<Interrogativ<du
anaananngortartunga	anaana-NNGUR+TAR<Participium<jeg
ataata	ataata<Ental<Absolut
ataatamut	ataata<Ental<Terminalis
ataatanik	ataata<Flertal<Instrumentalis
ataatani	ataata<Flertal<Lokalis
ataatalerigaluarpoq	ataata-LIRI+GALUAR<Indikativ<han
ataatalerigaluarpunga	ataata-LIRI+GALUAR<Indikativ<jeg
ataatalerigaluarpit	ataata-LIRI+GALUAR<Interrogativ<du
ataatalerigaluartunga	ataata-LIRI+GALUAR<Participium<jeg
ataatalerivoq	ataata-LIRI<Indikativ<han
ataatalerivunga	ataata-LIRI<Indikativ<jeg
ataatalerivugut	ataata-LIRI<Indikativ<vi
ataatalerivit	ataata-LIRI<Interrogativ<du
ataatalerisunga	ataata-LIRI<Participium<jeg
ataatalerisaraluarpunga	ataata-LIRI+TAR+GALUAR<Indikativ<jeg
ataatalerisaraluarpugut	ataata-LIRI+TAR+GALUAR<Indikativ<vi
ataatalerisaraluarpit	ataata-LIRI+TAR+GALUAR<Interrogativ<du
ataatalerisaraluartunga	ataata-LIRI+TAR+GALUAR<Participium<jeg
ataatalerisarpit	ataata-LIRI+TAR<Interrogativ<du
ataatalerisartunga	ataata-LIRI+TAR<Participium<jeg
ataatanngoraluarpoq	ataata-NNGUR+GALUAR<Indikativ<han
ataatanngoraluarpit	ataata-NNGUR+GALUAR<Interrogativ<du
ataatanngoraluartunga	ataata-NNGUR+GALUAR<Participium<jeg
ataatanngorpunga	ataata-NNGUR<Indikativ<jeg
ataatanngorpugut	ataata-NNGUR<Indikativ<vi
ataatanngorpit	ataata-NNGUR<Interrogativ<du
ataatanngortunga	ataata-NNGUR<Participium<jeg
ataatanngortaraluarpoq	ataata-NNGUR+TAR+GALUAR<Indikativ<han
ataatanngortaraluarpunga	ataata-NNGUR+TAR+GALUAR<Indikativ<jeg
ataatanngortaraluarpugut	ataata-NNGUR+TAR+GALUAR<Indikativ<vi
ataatanngortaraluartunga	ataata-NNGUR+TAR+GALUAR<Participium<jeg
ataatanngortarpunga	ataata-NNGUR+TAR<Indikativ<jeg
ataatanngortarpugut	ataata-NNGUR+TAR<Indikativ<vi
ataatanngortarpit	ataata-NNGUR+TAR<Interrogativ<du
ataatanngortartunga	ataata-NNGUR+TAR<Participium<jeg
eqqaamagaluarpaat	eqqaama+GALUAR<Indikativ<DeHam
eqqaamagaluarpaannga	eqqaama+GALUAR<Indikativ<DeMig
eqqaamagaluarpiuk	eqqaama+GALUAR<Interrogativ<DuHam
eqqaamavaat	eqqaama<Indikativ<DeHam
eqqaamavaannga	eqqaama<Indikativ<DeMig
eqqaamaviuk	eqqaama<Interrogativ<DuHam
eqqaamasaraluarpaat	eqqaama+TAR+GALUAR<Indikativ<DeHam
eqqaamasaraluarpaannga	eqqaama+TAR+GALUAR<Indikativ<DeMig
eqqaamasaraluarpiuk	eqqaama+TAR+GALUAR<Interrogativ<DuHam
eqqaamasarpaat	eqqaama+TAR<Indikativ<DeHam
eqqaamasarpaannga	eqqaama+TAR<Indikativ<DeMig
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqumiitsuliortoq	eqqumiitsuliortoq<Ental<Absolut
eqqumiitsuliortumut	eqqumiitsuliortoq<Ental<Terminalis
eqqumiitsuliortunik	eqqumiitsuliortoq<Flertal<Instrumentalis
eqqumiitsuliortuni	eqqumiitsuliortoq<Flertal<Lokalis
eqqumiitsuliortulerigaluarpunga	eqqumiitsuliortoq-LIRI+GALUAR<Indikativ<jeg
eqqumiitsuliortulerigaluarpugut	eqqumiitsuliortoq-LIRI+GALUAR<Indikativ<vi
eqqumiitsuliortulerigaluarpit	eqqumiitsuliortoq-LIRI+GALUAR<Interrogativ<du
eqqumiitsuliortulerigaluartunga	eqqumiitsuliortoq-LIRI+GALUAR<Participium<jeg
eqqumiitsuliortulerivoq	eqqumiitsuliortoq-LIRI<Indikativ<han
eqqumiitsuliortulerivunga	eqqumiitsuliortoq-LIRI<Indikativ<jeg
eqqumiitsuliortulerivugut	eqqumiitsuliortoq-LIRI<Indikativ<vi
eqqumiitsuliortulerivit	eqqumiitsuliortoq-LIRI<Interrogativ<du
eqqumiitsuliortulerisunga	eqqumiitsuliortoq-LIRI<Participium<jeg
eqqumiitsuliortulerisaraluarpunga	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Indikativ<jeg
eqqumiitsuliortulerisaraluarpit	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Interrogativ<du
eqqumiitsuliortulerisaraluartunga	eqqumiitsuliortoq-LIRI+TAR+GALUAR<Participium<jeg
eqqumiitsuliortulerisarpoq	eqqumiitsuliortoq-LIRI+TAR<Indikativ<han
eqqumiitsuliortulerisarpunga	eqqumiitsuliortoq-LIRI+TAR<Indikativ<jeg
eqqumiitsuliortulerisarpugut	eqqumiitsuliortoq-LIRI+TAR<Indikativ<vi
eqqumiitsuliortulerisartunga	eqqumiitsuliortoq-LIRI+TAR<Participium<jeg
