aap	aap<Partikel
angajulleq	angajulleq<ental<Absolut
angajullertut	angajulleq<ental<Aequalis
angajulliat	angajulleq<ental<deres<Absolut
angajulliit	angajulleq<flertal<Absolut
angajulliit	angajulleq<flertal<Relativ
angajullernut	angajulleq<flertal<Terminalis
angajulliinnaq	angajulleq-INNAQ<ental<Absolut
angajulliinnartut	angajulleq-INNAQ<ental<Aequalis
angajulliinnaat	angajulleq-INNAQ<ental<deres<Absolut
angajulliinnaat	angajulleq-INNAQ<flertal<Absolut
angajulliinnaat	angajulleq-INNAQ<flertal<Relativ
angajulliinnarnut	angajulleq-INNAQ<flertal<Terminalis
angajullilik	angajulleq-LIK<ental<Absolut
angajullilittut	angajulleq-LIK<ental<Aequalis
angajulliliat	angajulleq-LIK<ental<deres<Absolut
angajullillit	angajulleq-LIK<flertal<Absolut
angajullillit	angajulleq-LIK<flertal<Relativ
angajullilinnut	angajulleq-LIK<Terminalis<flertal
angajullerpassuit	angajulleq+PASSUAQ<flertal<Absolut
angajullerpassuartut	angajulleq+PASSUAQ<flertal<Aequalis
angajullerpassuarnut	angajulleq+PASSUAQ<flertal<Terminalis
arnaq	arnaq<ental<Absolut
arnatut	arnaq<ental<Aequalis
arnaat	arnaq<ental<deres<Absolut
arnaannaq	arnaq-INNAQ<ental<Absolut
arnaannartut	arnaq-INNAQ<ental<Aequalis
arnaannaat	arnaq-INNAQ<ental<deres<Absolut
arnaannaat	arnaq-INNAQ<flertal<Absolut
arnaannaat	arnaq-INNAQ<flertal<Relativ
arnaannarnut	arnaq-INNAQ<flertal<Terminalis
arnalik	arnaq-LIK<ental<Absolut
arnalittut	arnaq-LIK<ental<Aequalis
arnaliat	arnaq-LIK<ental<deres<Absolut
arnallit	arnaq-LIK<flertal<Absolut
arnallit	arnaq-LIK<flertal<Relativ
arnalinnut	arnaq-LIK<Terminalis<flertal
arnarpassuit	arnaq+PASSUAQ<flertal<Absolut
arnarpassuartut	arnaq+PASSUAQ<flertal<Aequalis
arnarpassuarnut	arnaq+PASSUAQ<flertal<Terminalis
arnanut	arnaq<Terminalis<flertal
atorpaa	ator<Indikativ<HanHam
atulaarpaa	ator-LAAR<Indikativ<HanHam
atorsimavaa	ator+SIMA<Indikativ<HanHam
ilaa	ilaa<Partikel
ila	ila<ental<Absolut
ilatut	ila<ental<Aequalis
ilaat	ila<ental<deres<Absolut
ilaannaq	ila-INNAQ<ental<Absolut
