aamma	aamma<Partikel
aammali	aamma<Partikel+LI
aammalu	aamma<Partikel+LU
aappaagu	aappaagu<Partikel
aappaaguli	aappaagu<Partikel+LI
aappaagulu	aappaagu<Partikel+LU
aap	aap<Partikel
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannillu	Aasiaat<Instrumentalis+LU
Aasianni	Aasiaat<Lokalis
Aasiannili	Aasiaat<Lokalis+LI
Aasiannilu	Aasiaat<Lokalis+LU
Aasiammiu	Aasiaat+MIU<ental<Absolut
Aasiammiumilli	Aasiaat+MIU<ental<Instrumentalis+LI
Aasiammiunut	Aasiaat+MIU<flertal<Terminalis
Aasiammiunullu	Aasiaat+MIU<flertal<Terminalis+LU
Aasiammiulerilaartartungali	Aasiaat+MIU-LIRI-LAAR=TAR<Participium<jeg+LI
Aasiammiulerisungali	Aasiaat+MIU-LIRI<Participium<jeg+LI
Aasiammiulerissavit	Aasiaat+MIU-LIRI-SSA<Interrogativ<du
Aasiammiulerissanernilli	Aasiaat+MIU-LIRI-SSA+NIQ<flertal<Instrumentalis+LI
Aasiammiulerisarpunga	Aasiaat+MIU-LIRI+TAR<Indikativ<jeg
Aasiammiunngorpungali	Aasiaat+MIU-NNGUR<Indikativ<jeg+LI
Aasiammiunngorpugullu	Aasiaat+MIU-NNGUR<Indikativ<vi+LU
Aasiammiunngornerit	Aasiaat+MIU-NNGUR+NIQ<flertal<Absolut
Aasiammiunngortunga	Aasiaat+MIU-NNGUR<Participium<jeg
Aasiammiunngortassagaluarnerni	Aasiaat+MIU-NNGUR+TAR=SSA=GALUAR+NIQ<flertal<Lokalis
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
