aleqa	aleqa<ental<Absolut
aleqaa	aleqa<ental<hans<Absolut
aleqami	aleqa<ental<Lokalis
aleqamiillutik	aleqa<ental<Lokalis+IP<Ledsagemåde<de_selv
aleqamiinniarpoq	aleqa<ental<Lokalis+IP+NIAR<Indikativ<han
aleqamiinngitsoq	aleqa<ental<Lokalis+IP-NNGIT<Participium<han
aleqamiissinnaasoq	aleqa<ental<Lokalis+IP+SINNAA<Participium<han
aleqaa	aleqa<flertal<hans<Absolut
aleqani	aleqa<flertal<Lokalis
aleqaniipput	aleqa<flertal<Lokalis+IP<Indikativ<de
aleqaniippoq	aleqa<flertal<Lokalis+IP<Indikativ<han
aleqaniillutik	aleqa<flertal<Lokalis+IP<Ledsagemåde<de_selv
aleqaniinniarpoq	aleqa<flertal<Lokalis+IP+NIAR<Indikativ<han
aleqaniinniarnatik	aleqa<flertal<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
aleqaniinniartut	aleqa<flertal<Lokalis+IP+NIAR<Participium<de
aleqaniinngilaq	aleqa<flertal<Lokalis+IP-NNGIT<Indikativ<han
aleqaniinngitsut	aleqa<flertal<Lokalis+IP-NNGIT<Participium<de
aleqaniissinnaallutik	aleqa<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
aleqaniissinnaasoq	aleqa<flertal<Lokalis+IP+SINNAA<Participium<han
aleqagitigit	aleqa+GӘ<Imperativ<ViDem
aleqagivaa	aleqa+GӘ<Indikativ<HanHam
aleqagivakka	aleqa+GӘ<Indikativ<JegDem
aleqagivagut	aleqa+GӘ<Indikativ<ViDem
aleqaginngilakka	aleqa+GӘ-NNGIT<Indikativ<JegDem
aleqaginngilagut	aleqa+GӘ-NNGIT<Indikativ<ViDem
angaju	angaju<ental<Absolut
angajua	angaju<ental<hans<Absolut
angajui	angaju<flertal<hans<Absolut
angajuni	angaju<flertal<Lokalis
angajuniinniarnatik	angaju<flertal<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
angajuniinniartoq	angaju<flertal<Lokalis+IP+NIAR<Participium<han
angajugitigit	angaju+GӘ<Imperativ<ViDem
angajugivaa	angaju+GӘ<Indikativ<HanHam
angajugivakka	angaju+GӘ<Indikativ<JegDem
angajugivagut	angaju+GӘ<Indikativ<ViDem
angajuginngilakka	angaju+GӘ-NNGIT<Indikativ<JegDem
angajuginngilagut	angaju+GӘ-NNGIT<Indikativ<ViDem
angut	angut<ental<Absolut
angummi	angut<ental<Lokalis
angummiipput	angut<ental<Lokalis+IP<Indikativ<de
angummiippoq	angut<ental<Lokalis+IP<Indikativ<han
angummiillutik	angut<ental<Lokalis+IP<Ledsagemåde<de_selv
angummiinniarlutik	angut<ental<Lokalis+IP+NIAR<Ledsagemåde<de_selv
angummiinniarnatik	angut<ental<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
angummiinnianngitsut	angut<ental<Lokalis+IP+NIAR=NNGIT<Participium<de
angummiittut	angut<ental<Lokalis+IP<Participium<de
angummiittoq	angut<ental<Lokalis+IP<Participium<han
angutini	angut<flertal<Lokalis
angutiniippoq	angut<flertal<Lokalis+IP<Indikativ<han
angutiniinngitsut	angut<flertal<Lokalis+IP-NNGIT<Participium<de
angutigitigit	angut+GӘ<Imperativ<ViDem
angutigivagut	angut+GӘ<Indikativ<ViDem
angutiginngilagut	angut+GӘ-NNGIT<Indikativ<ViDem
ani	ani<ental<Absolut
ania	ani<ental<hans<Absolut
animi	ani<ental<Lokalis
animiillutik	ani<ental<Lokalis+IP<Ledsagemåde<de_selv
animiinniarpoq	ani<ental<Lokalis+IP+NIAR<Indikativ<han
animiinnianngitsoq	ani<ental<Lokalis+IP+NIAR=NNGIT<Participium<han
animiinngilaq	ani<ental<Lokalis+IP-NNGIT<Indikativ<han
anii	ani<flertal<hans<Absolut
anini	ani<flertal<Lokalis
aniniillutik	ani<flertal<Lokalis+IP<Ledsagemåde<de_selv
aniniinniarlutik	ani<flertal<Lokalis+IP+NIAR<Ledsagemåde<de_selv
aniniinnianngilaq	ani<flertal<Lokalis+IP+NIAR=NNGIT<Indikativ<han
aniniinngillat	ani<flertal<Lokalis+IP-NNGIT<Indikativ<de
aniniittoq	ani<flertal<Lokalis+IP<Participium<han
aniniissinnaallutik	ani<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
anigitigit	ani+GӘ<Imperativ<ViDem
anigivaa	ani+GӘ<Indikativ<HanHam
anigivakka	ani+GӘ<Indikativ<JegDem
anigivagut	ani+GӘ<Indikativ<ViDem
aniginngilakka	ani+GӘ-NNGIT<Indikativ<JegDem
aniginngilagut	ani+GӘ-NNGIT<Indikativ<ViDem
aqqalu	aqqalu<ental<Absolut
aqqalua	aqqalu<ental<hans<Absolut
aqqalumi	aqqalu<ental<Lokalis
aqqalumiipput	aqqalu<ental<Lokalis+IP<Indikativ<de
aqqalumiinnianngilaq	aqqalu<ental<Lokalis+IP+NIAR=NNGIT<Indikativ<han
aqqalumiissinnaallutik	aqqalu<ental<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
aqqalui	aqqalu<flertal<hans<Absolut
aqqaluni	aqqalu<flertal<Lokalis
aqqaluniillutik	aqqalu<flertal<Lokalis+IP<Ledsagemåde<de_selv
aqqaluniinniarput	aqqalu<flertal<Lokalis+IP+NIAR<Indikativ<de
aqqaluniinniarlutik	aqqalu<flertal<Lokalis+IP+NIAR<Ledsagemåde<de_selv
aqqaluniinnianngitsut	aqqalu<flertal<Lokalis+IP+NIAR=NNGIT<Participium<de
aqqaluniinnianngitsoq	aqqalu<flertal<Lokalis+IP+NIAR=NNGIT<Participium<han
aqqaluniinngitsoq	aqqalu<flertal<Lokalis+IP-NNGIT<Participium<han
aqqaluniittut	aqqalu<flertal<Lokalis+IP<Participium<de
aqqaluniittoq	aqqalu<flertal<Lokalis+IP<Participium<han
aqqaluniissinnaallutik	aqqalu<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
aqqaluniissinnaasut	aqqalu<flertal<Lokalis+IP+SINNAA<Participium<de
aqqaluniissinnaasoq	aqqalu<flertal<Lokalis+IP+SINNAA<Participium<han
aqqalugitigit	aqqalu+GӘ<Imperativ<ViDem
aqqalugivaa	aqqalu+GӘ<Indikativ<HanHam
aqqalugivakka	aqqalu+GӘ<Indikativ<JegDem
aqqalugivagut	aqqalu+GӘ<Indikativ<ViDem
aqqaluginngilakka	aqqalu+GӘ-NNGIT<Indikativ<JegDem
aqqaluginngilagut	aqqalu+GӘ-NNGIT<Indikativ<ViDem
assersuut	assersuut<ental<Absolut
assersuutaa	assersuut<ental<hans<Absolut
assersuummi	assersuut<ental<Lokalis
assersuummiipput	assersuut<ental<Lokalis+IP<Indikativ<de
assersuummiippoq	assersuut<ental<Lokalis+IP<Indikativ<han
assersuummiillutik	assersuut<ental<Lokalis+IP<Ledsagemåde<de_selv
assersuummiinniarpoq	assersuut<ental<Lokalis+IP+NIAR<Indikativ<han
