aallariartorpoq	aallar+GIARTUR<Indikativ<han
aallariartorpisi	aallar+GIARTUR<Interrogativ<I
aallariartortoq	aallar+GIARTUR+TUQ<ental<Absolut
aallariartortumukarpoq	aallar+GIARTUR+TUQ<ental<Terminalis-KAR<Indikativ<han
aallariartortumukalerpoq	aallar+GIARTUR+TUQ<ental<Terminalis-KAR-LIR<Indikativ<han
aallariartortukka	aallar+GIARTUR+TUQ<flertal<min<Absolut
aallariartortunnguaq	aallar+GIARTUR+TUQ-NNGUAQ<ental<Absolut
aallariartortunnguamukalertoq	aallar+GIARTUR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
aallariartortunnguamukartoq	aallar+GIARTUR+TUQ-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
aallariartortunnguakka	aallar+GIARTUR+TUQ-NNGUAQ<flertal<min<Absolut
aallarpoq	aallar<Indikativ<han
aallarpisi	aallar<Interrogativ<I
aallalerpoq	aallar-LIR<Indikativ<han
aallalerpisi	aallar-LIR<Interrogativ<I
aallalertoq	aallar-LIR+TUQ<ental<Absolut
aallalertumut	aallar-LIR+TUQ<ental<Terminalis
aallalertumukariartorpisi	aallar-LIR+TUQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
aallalertumukarpoq	aallar-LIR+TUQ<ental<Terminalis-KAR<Indikativ<han
aallalertumukalerpoq	aallar-LIR+TUQ<ental<Terminalis-KAR-LIR<Indikativ<han
aallalertumukalerpisi	aallar-LIR+TUQ<ental<Terminalis-KAR-LIR<Interrogativ<I
aallalertumukalertoq	aallar-LIR+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
aallalertumukartoq	aallar-LIR+TUQ<ental<Terminalis-KAR+TUQ<ental<Absolut
aallalertukka	aallar-LIR+TUQ<flertal<min<Absolut
aallalertunnguaq	aallar-LIR+TUQ-NNGUAQ<ental<Absolut
aallalertunnguamut	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis
aallalertunnguamukariartorpoq	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
aallalertunnguamukarpisi	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
aallalertunnguamukalerpoq	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
aallalertunnguamukalerpisi	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
aallalertunnguamukalertoq	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
aallalertunnguamukartoq	aallar-LIR+TUQ-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
aallalertunnguakka	aallar-LIR+TUQ-NNGUAQ<flertal<min<Absolut
aallartoq	aallar+TUQ<ental<Absolut
aallartumut	aallar+TUQ<ental<Terminalis
aallartumukariartorpoq	aallar+TUQ<ental<Terminalis-KAR+GIARTUR<Indikativ<han
aallartumukariartortoq	aallar+TUQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
aallartumukalertoq	aallar+TUQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
aallartumukartoq	aallar+TUQ<ental<Terminalis-KAR+TUQ<ental<Absolut
aallartukka	aallar+TUQ<flertal<min<Absolut
aallartunnguaq	aallar+TUQ-NNGUAQ<ental<Absolut
aallartunnguamut	aallar+TUQ-NNGUAQ<ental<Terminalis
aallartunnguamukarpoq	aallar+TUQ-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
aallartunnguamukalerpoq	aallar+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
aallartunnguamukalerpisi	aallar+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
aallartunnguamukalertoq	aallar+TUQ-NNGUAQ<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
aallartunnguamukartoq	aallar+TUQ-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
aallartunnguakka	aallar+TUQ-NNGUAQ<flertal<min<Absolut
atuakkialerineq	atuakkialerineq<ental<Absolut
atuakkialerinermut	atuakkialerineq<ental<Terminalis
atuakkialerinermukarpisi	atuakkialerineq<ental<Terminalis-KAR<Interrogativ<I
atuakkialerinermukalerpisi	atuakkialerineq<ental<Terminalis-KAR-LIR<Interrogativ<I
atuakkialerinermukalertoq	atuakkialerineq<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
atuakkialerinikka	atuakkialerineq<flertal<min<Absolut
atuakkialerininnguaq	atuakkialerineq-NNGUAQ<ental<Absolut
atuakkialerininnguamut	atuakkialerineq-NNGUAQ<ental<Terminalis
atuakkialerininnguamukariartorpisi	atuakkialerineq-NNGUAQ<ental<Terminalis-KAR+GIARTUR<Interrogativ<I
atuakkialerininnguamukariartortoq	atuakkialerineq-NNGUAQ<ental<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
atuakkialerininnguamukalerpoq	atuakkialerineq-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
atuakkialerininnguamukalerpisi	atuakkialerineq-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
atuakkialerininnguamukartoq	atuakkialerineq-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
atuakkialerininnguakka	atuakkialerineq-NNGUAQ<flertal<min<Absolut
atuakkialerinernut	atuakkialerineq<Terminalis<flertal
