aallariartorlutinguna	aallar+GIARTUR<Ledsagemåde<de_selv+UNA
aallalaartarpugut	aallar-LAAR=TAR<Indikativ<vi
aallarniarluni	aallar+NIAR<Ledsagemåde<han_selv
aallassagaluarpoq	aallar-SSA=GALUAR<Indikativ<han
aallassagaluarlunga	aallar-SSA=GALUAR<Ledsagemåde<jeg
aallassapput	aallar-SSA<Indikativ<de
aamma	aamma<Partikel
aammalu	aamma<Partikel+LU
aammaana	aamma<Partikel+UNA
aappaagu	aappaagu<Partikel
aappaaguuna	aappaagu<Partikel+UNA
aap	aap<Partikel
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiaanuna	Aasiaat<Absolut+UNA
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannillu	Aasiaat<Instrumentalis+LU
Aasianninguna	Aasiaat<Instrumentalis+UNA
Aasianni	Aasiaat<Lokalis
Aasianniilaarpungali	Aasiaat<Lokalis+IP-LAAR<Indikativ<jeg+LI
Aasianniilaarpugununa	Aasiaat<Lokalis+IP-LAAR<Indikativ<vi+UNA
Aasianniilaartarluni	Aasiaat<Lokalis+IP-LAAR=TAR<Ledsagemåde<han_selv
Aasianniillungalu	Aasiaat<Lokalis+IP<Ledsagemåde<jeg+LU
Aasianniilertoqarporlu	Aasiaat<Lokalis+IP-LIR+TUQ-QAR<Indikativ<han+LU
Aasiannili	Aasiaat<Lokalis+LI
Aasiannilu	Aasiaat<Lokalis+LU
Aasianniuna	Aasiaat<Lokalis+UNA
Aasiammiumili	Aasiaat+MIU<ental<Lokalis+LI
Aasiammiumukalaarneq	Aasiaat+MIU<ental<Terminalis-KAR-LAAR+NIQ
Aasiammiunik	Aasiaat+MIU<flertal<Instrumentalis
Aasiammiunilli	Aasiaat+MIU<flertal<Instrumentalis+LI
Aasiammiuniilaartarneq	Aasiaat+MIU<flertal<Lokalis+IP-LAAR=TAR+NIQ
Aasiammiuniuna	Aasiaat+MIU<flertal<Lokalis+UNA
Aasiammiulerigaluarlunga	Aasiaat+MIU-LIRI+GALUAR<Ledsagemåde<jeg
Aasiammiulerillunga	Aasiaat+MIU-LIRI<Ledsagemåde<jeg
Aasiammiulerisimasorli	Aasiaat+MIU-LIRI+SIMA<Participium<han+LI
Aasiammiulerisimasarpunga	Aasiaat+MIU-LIRI+SIMA=TAR<Indikativ<jeg
Aasiammiulerisimasukka	Aasiaat+MIU-LIRI+SIMA+TUQ<flertal<min<Absolut
Aasiammiulerisarpit	Aasiaat+MIU-LIRI+TAR<Interrogativ<du
Aasiammiunngussagaluarlutinguna	Aasiaat+MIU-NNGUR-SSA=GALUAR<Ledsagemåde<de_selv+UNA
Aasiammioqarpoq	Aasiaat+MIU-QAR<Indikativ<han
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
Aasiammioqarporlu	Aasiaat+MIU-QAR<Indikativ<han+LU
Aasiammioqarneq	Aasiaat+MIU-QAR+NIQ<ental<Absolut
Aasiammioqarnerli	Aasiaat+MIU-QAR+NIQ<ental<Absolut+LI
