aallartikkama	aallartip<Causativ<jeg
aallartippoq	aallartip<Indikativ<han
aallartiinnarama	aallartip-INNAR<Causativ<jeg
aallartiinnarpoq	aallartip-INNAR<Indikativ<han
aallartinnikuugama	aallartip+NIKUU<Causativ<jeg
aallartinnikuuvoq	aallartip+NIKUU<Indikativ<han
aallartinnerama	aallartip+NIR<Causativ<jeg
aallartinnerugama	aallartip+NIRU<Causativ<jeg
aallartinneruvoq	aallartip+NIRU<Indikativ<han
aallarteqqaarama	aallartip-QQAAR<Causativ<jeg
aallarteqqaarpoq	aallartip-QQAAR<Indikativ<han
aallarteqqummanga	aallartip-QQU<Causativ<HanMig
aallarteqqugakku	aallartip-QQU<Causativ<JegHam
aallarteqquaa	aallartip-QQU<Indikativ<HanHam
aallarteqquaanga	aallartip-QQU<Indikativ<HanMig
aallarteqquara	aallartip-QQU<Indikativ<JegHam
aallarteriarama	aallartip-RIAR<Causativ<jeg
aallartereerama	aallartip-RIIR<Causativ<jeg
aallartereerpoq	aallartip-RIIR<Indikativ<han
aallartippallaarama	aallartip+VALLAAR<Causativ<jeg
aallartippallaarpoq	aallartip+VALLAAR<Indikativ<han
aappaq	aappaq<ental<Absolut
aappama	aappaq<ental<min<Relativ
aappani	aappaq<ental<sin<Absolut
aappariit	aappaq+GIIT<flertal<Absolut
aappassaq	aappaq-SSAQ<ental<Absolut
aappassama	aappaq-SSAQ<ental<min<Relativ
aappassani	aappaq-SSAQ<ental<sin<Absolut
affaq	affaq<ental<Absolut
affama	affaq<ental<min<Relativ
affani	affaq<ental<sin<Absolut
affariit	affaq+GIIT<flertal<Absolut
affassaq	affaq-SSAQ<ental<Absolut
affassama	affaq-SSAQ<ental<min<Relativ
affassani	affaq-SSAQ<ental<sin<Absolut
aqqanilissat	aqqanillit-SSAQ<flertal<Absolut
aqqanillit	aqqanillit<Talord<Absolut<flertal
aqqutigimmanga	aqqutigә<Causativ<HanMig
aqqutigigakku	aqqutigә<Causativ<JegHam
aqqutigivaa	aqqutigә<Indikativ<HanHam
aqqutigivaanga	aqqutigә<Indikativ<HanMig
aqqutigiinnarmanga	aqqutigә-INNAR<Causativ<HanMig
aqqutigiinnarakku	aqqutigә-INNAR<Causativ<JegHam
aqqutigiinnarpaa	aqqutigә-INNAR<Indikativ<HanHam
aqqutigiinnarpaanga	aqqutigә-INNAR<Indikativ<HanMig
