aallarniarnikkali	aallar+NIAR+NIQ<flertal<min<Absolut+LI
aallaqqaaramali	aallar-QQAAR<Causativ<jeg+LI
aamma	aamma<Partikel
aammalu	aamma<Partikel+LU
aappalerinerli	aappaq-LIRI+NIQ+LI
aapparmiuni	aappaq+MIU<flertal<Lokalis
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiaanuna	Aasiaat<Absolut+UNA
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannillu	Aasiaat<Instrumentalis+LU
Aasianninguna	Aasiaat<Instrumentalis+UNA
Aasianni	Aasiaat<Lokalis
Aasianniiginnarlutilli	Aasiaat<Lokalis+IP-INNAR<Ledsagemåde<de_selv+LI
Aasianneeqqaarpunga	Aasiaat<Lokalis+IP-QQAAR<Indikativ<jeg
Aasianneeqqaarnerlu	Aasiaat<Lokalis+IP-QQAAR+NIQ+LU
Aasianneeqqutigilli	Aasiaat<Lokalis+IP-QQU<Imperativ<ViDem+LI
Aasianneeqqutigillu	Aasiaat<Lokalis+IP-QQU<Imperativ<ViDem+LU
Aasianneeriarpit	Aasiaat<Lokalis+IP-RIAR<Interrogativ<du
Aasianneereerpit	Aasiaat<Lokalis+IP-RIIR<Interrogativ<du
Aasianniissimasartunga	Aasiaat<Lokalis+IP+SIMA=TAR<Participium<jeg
Aasianniippallaarlutinguna	Aasiaat<Lokalis+IP+VALLAAR<Ledsagemåde<de_selv+UNA
Aasiannili	Aasiaat<Lokalis+LI
Aasiannilu	Aasiaat<Lokalis+LU
Aasiammiumeereerpit	Aasiaat+MIU<ental<Lokalis+IP-RIIR<Interrogativ<du
Aasiammiunilli	Aasiaat+MIU<flertal<Instrumentalis+LI
Aasiammiuneereerneq	Aasiaat+MIU<flertal<Lokalis+IP-RIIR+NIQ
Aasiammiuniuna	Aasiaat+MIU<flertal<Lokalis+UNA
Aasiammiulerigamaana	Aasiaat+MIU-LIRI<Causativ<jeg+UNA
Aasiammiulerivit	Aasiaat+MIU-LIRI<Interrogativ<du
Aasiammiulerisoqanngilaq	Aasiaat+MIU-LIRI+TUQ-QAR-NNGIT<Indikativ<han
Aasiammiunngornerusungalu	Aasiaat+MIU-NNGUR+NIRU<Participium<jeg+LU
Aasiammiunngoqquaajuna	Aasiaat+MIU-NNGUR-QQU<Indikativ<HanDem+UNA
Aasiammiunngorsinnaasoq	Aasiaat+MIU-NNGUR+SINNAA+TUQ<ental<Absolut
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
Aasiammioqarporlu	Aasiaat+MIU-QAR<Indikativ<han+LU
Aasiammioqarneq	Aasiaat+MIU-QAR+NIQ
Aasiammioqarnerli	Aasiaat+MIU-QAR+NIQ+LI
Aasiammioqarnerlu	Aasiaat+MIU-QAR+NIQ+LU
Aasiammioqarneruna	Aasiaat+MIU-QAR+NIQ+UNA
Aasiammioqartorli	Aasiaat+MIU-QAR<Participium<han+LI
Aasiammioqartorlu	Aasiaat+MIU-QAR<Participium<han+LU
Aasiammioqartoq	Aasiaat+MIU-QAR+TUQ
Aasiammioqartorli	Aasiaat+MIU-QAR+TUQ+LI
Aasiammiuugaluarpungali	Aasiaat+MIU-U+GALUAR<Indikativ<jeg+LI
Aasiammiuugaluarpit	Aasiaat+MIU-U+GALUAR<Interrogativ<du
Aasiammiooqqaartuneeriarlutik	Aasiaat+MIU-U-QQAAR+TUQ<flertal<Lokalis+IP-RIAR<Ledsagemåde<de_selv
Aasiammiooqqugakku	Aasiaat+MIU-U-QQU<Causativ<JegHam
Aasiammiooqqutigilli	Aasiaat+MIU-U-QQU<Imperativ<ViDem+LI
Aasiammiooriarluni	Aasiaat+MIU-U-RIAR<Ledsagemåde<han_selv
Aasiammiooreerlutillu	Aasiaat+MIU-U-RIIR<Ledsagemåde<de_selv+LU
Aasiammiuusimasooreertussaralu	Aasiaat+MIU-U+SIMA+TUQ-U-RIIR+TUQ-SSAQ<ental<min<Absolut+LU
Aasiammiuusaramaana	Aasiaat+MIU-U+TAR<Causativ<jeg+UNA
Aasiammiuusartunga	Aasiaat+MIU-U+TAR<Participium<jeg
Aasiammiuuallaarnikkaana	Aasiaat+MIU-U+VALLAAR+NIQ<flertal<min<Absolut+UNA
Aasiannut	Aasiaat<Terminalis
Aasiannukalaarlutinguna	Aasiaat<Terminalis-KAR-LAAR<Ledsagemåde<de_selv+UNA
Aasiannukalaartartoq	Aasiaat<Terminalis-KAR-LAAR=TAR+TUQ
Aasiannukalerpugut	Aasiaat<Terminalis-KAR-LIR<Indikativ<vi
Aasiannukanngitsunga	Aasiaat<Terminalis-KAR-NNGIT<Participium<jeg
Aasiannukaqqugakkuli	Aasiaat<Terminalis-KAR-QQU<Causativ<JegHam+LI
Aasiannulli	Aasiaat<Terminalis+LI
Aasiannullu	Aasiaat<Terminalis+LU
Aasiannununa	Aasiaat<Terminalis+UNA
affaq	affaq<ental<Absolut
affaali	affaq<ental<hans<Absolut+LI
affara	affaq<ental<min<Absolut
affariinnukalaartaramalu	affaq+GIIT<flertal<Terminalis-KAR-LAAR=TAR<Causativ<jeg+LU
affariinnguinnarpugununa	affaq+GIIT-NNGUR-INNAR<Indikativ<vi+UNA
affarereerlugillu	affaq+GӘ-RIIR<Ledsagemåde<dem+LU
affaannaa	affaq-INNAQ<flertal<hans<Absolut
