aasaq	aasaq<ental<Absolut
aasarluunniit	aasaq<ental<Absolut+LUUNNIIT
aasakkut	aasaq<ental<Vialis
aasakkulluunniit	aasaq<ental<Vialis+LUUNNIIT
aasama	aasaq<flertal<min>Relativ
aasamaluunniit	aasaq<flertal<min>Relativ+LUUNNIIT
aasakkut	aasaq-KKUT<flertal<Absolut
aasakkulluunniit	aasaq-KKUT<flertal<Absolut+LUUNNIIT
aasarsioratta	aasaq+SIUR<Causativ<vi
aasarsiorunnaaratta	aasaq+SIUR+GUNNAAR<Causativ<vi
aasarsiorporluunniit	aasaq+SIUR<Indikativ<han+LUUNNIIT
aasarsiorluarattaluunniit	aasaq+SIUR+LUAR<Causativ<vi+LUUNNIIT
aasarsiorluarporluunniit	aasaq+SIUR+LUAR<Indikativ<han+LUUNNIIT
aasarsiuippoq	aasaq+SIUR-VIP<Indikativ<han
aasartaaratta	aasaq+TAAR<Causativ<vi
aasartaarattaluunniit	aasaq+TAAR<Causativ<vi+LUUNNIIT
aasartaarunnaarattaluunniit	aasaq+TAAR+GUNNAAR<Causativ<vi+LUUNNIIT
aasartaarusuppoq	aasaq+TAAR+GUSUP<Indikativ<han
aasartaavimmataluunniit	aasaq+TAAR-VIP<Causativ<de+LUUNNIIT
aasartaavimmalluunniit	aasaq+TAAR-VIP<Causativ<han+LUUNNIIT
aasartaavikkatta	aasaq+TAAR-VIP<Causativ<vi
aasartaavippoq	aasaq+TAAR-VIP<Indikativ<han
aasartaavipporluunniit	aasaq+TAAR-VIP<Indikativ<han+LUUNNIIT
akueriunnaarpat	akuerә+GUNNAAR<Indikativ<DuHam
akueriunnaarpaa	akuerә+GUNNAAR<Indikativ<HanHam
akueriunnaarlaraluunniit	akuerә+GUNNAAR<Optativ<JegHam+LUUNNIIT
akuererusuppat	akuerә+GUSUP<Indikativ<DuHam
akuererusuppalluunniit	akuerә+GUSUP<Indikativ<DuHam+LUUNNIIT
akuererusuppaa	akuerә+GUSUP<Indikativ<HanHam
akuererusuppaaluunniit	akuerә+GUSUP<Indikativ<HanHam+LUUNNIIT
akuererusullara	akuerә+GUSUP<Optativ<JegHam
akuererusullaraluunniit	akuerә+GUSUP<Optativ<JegHam+LUUNNIIT
akuerivat	akuerә<Indikativ<DuHam
akuerivalluunniit	akuerә<Indikativ<DuHam+LUUNNIIT
akuerivaa	akuerә<Indikativ<HanHam
akuerivaaluunniit	akuerә<Indikativ<HanHam+LUUNNIIT
akuerilluarpat	akuerә+LUAR<Indikativ<DuHam
akuerilluarpalluunniit	akuerә+LUAR<Indikativ<DuHam+LUUNNIIT
akuerilluarpaa	akuerә+LUAR<Indikativ<HanHam
akuerilluarpaaluunniit	akuerә+LUAR<Indikativ<HanHam+LUUNNIIT
akuerilluarlara	akuerә+LUAR<Optativ<JegHam
akuerilluarlaraluunniit	akuerә+LUAR<Optativ<JegHam+LUUNNIIT
akuerilara	akuerә<Optativ<JegHam
akuerilaraluunniit	akuerә<Optativ<JegHam+LUUNNIIT
akuerivippat	akuerә-VIP<Indikativ<DuHam
