aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
aallaqquara	aallar-QQU<Indikativ<JegHam
aallarsimasartunga	aallar+SIMA=TAR<Participium<jeg
aamma	aamma<Partikel
aapparmiuunikuusoqareermata	aappaq+MIU-U+NIKUU+TUQ-QAR-RIIR<Causativ<de
aappaalaarlutik	aappaq-U-LAAR<Ledsagemåde<de_selv
aalli	aap<Partikel+LI
aallu	aap<Partikel+LU
aasarpassuilli	aasaq+PASSUAQ<flertal<Absolut+LI
aasaammata	aasaq-U<Causativ<de
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaallu	Aasiaat<Absolut+LU
Aasiaanuna	Aasiaat<Absolut+UNA
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasianninguna	Aasiaat<Instrumentalis+UNA
Aasianni	Aasiaat<Lokalis
Aasianniinnginneruna	Aasiaat<Lokalis+IP-NNGIT+NIQ+UNA
Aasianneeqqaarmalli	Aasiaat<Lokalis+IP-QQAAR<Causativ<han+LI
Aasianneeqqaarpoq	Aasiaat<Lokalis+IP-QQAAR<Indikativ<han
Aasianneeqquaangaana	Aasiaat<Lokalis+IP-QQU<Indikativ<HanMig+UNA
Aasianneeqqulara	Aasiaat<Lokalis+IP-QQU<Optativ<JegHam
Aasianneeriaratta	Aasiaat<Lokalis+IP-RIAR<Causativ<vi
Aasianneereerpit	Aasiaat<Lokalis+IP-RIIR<Interrogativ<du
Aasiannilu	Aasiaat<Lokalis+LU
Aasiammiuni	Aasiaat+MIU<flertal<Lokalis
Aasiammiuniinngilarli	Aasiaat+MIU<flertal<Lokalis+IP-NNGIT<Indikativ<han+LI
Aasiammiuneeqqaarmata	Aasiaat+MIU<flertal<Lokalis+IP-QQAAR<Causativ<de
Aasiammiuneeqqugakku	Aasiaat+MIU<flertal<Lokalis+IP-QQU<Causativ<JegHam
Aasiammiulerigaluarlutillu	Aasiaat+MIU-LIRI+GALUAR<Ledsagemåde<de_selv+LU
Aasiammiulereriarpit	Aasiaat+MIU-LIRI-RIAR<Interrogativ<du
Aasiammiunnguinnarnini	Aasiaat+MIU-NNGUR-INNAR+NIQ<ental<sin<Absolut
Aasiammiunngunnginnatta	Aasiaat+MIU-NNGUR-NNGIT<Causativ<vi
Aasiammiunngoreerpugullu	Aasiaat+MIU-NNGUR-RIIR<Indikativ<vi+LU
Aasiammiunngoreertulli	Aasiaat+MIU-NNGUR-RIIR<Participium<de+LI
Aasiammioqarpoq	Aasiaat+MIU-QAR<Indikativ<han
Aasiammioqarneq	Aasiaat+MIU-QAR+NIQ
Aasiammioqarnerli	Aasiaat+MIU-QAR+NIQ+LI
Aasiammioqartoq	Aasiaat+MIU-QAR<Participium<han
Aasiammioqartoq	Aasiaat+MIU-QAR+TUQ
Aasiammioqartorli	Aasiaat+MIU-QAR+TUQ+LI
Aasiammioqartoruna	Aasiaat+MIU-QAR+TUQ+UNA
Aasiammioorusunninili	Aasiaat+MIU-U+GUSUP+NIQ<ental<sin<Absolut+LI
Aasiammioorusuttuinnaqalaartunngortaraluarpungali	Aasiaat+MIU-U+GUSUP+TUQ-INNAQ-QAR-LAAR+TUQ-NNGUR+TAR=GALUAR<Indikativ<jeg+LI
Aasiammiuuinnarlutilli	Aasiaat+MIU-U-INNAR<Ledsagemåde<de_selv+LI
Aasiammiuullutilli	Aasiaat+MIU-U<Ledsagemåde<de_selv+LI
Aasiammiooqqularali	Aasiaat+MIU-U-QQU<Optativ<JegHam+LI
Aasiammiooreertungali	Aasiaat+MIU-U-RIIR<Participium<jeg+LI
Aasiammiuuittungali	Aasiaat+MIU-U-VIP<Participium<jeg+LI
Aasiannut	Aasiaat<Terminalis
Aasiannukalaarama	Aasiaat<Terminalis-KAR-LAAR<Causativ<jeg
Aasiannukalaartoq	Aasiaat<Terminalis-KAR-LAAR<Participium<han
Aasiannukaqqugakkuli	Aasiaat<Terminalis-KAR-QQU<Causativ<JegHam+LI
Aasiannukaqquaa	Aasiaat<Terminalis-KAR-QQU<Indikativ<HanHam
Aasiannukaqquiuk	Aasiaat<Terminalis-KAR-QQU<Interrogativ<DuHam
Aasiannukariarpit	Aasiaat<Terminalis-KAR-RIAR<Interrogativ<du
Aasiannukassagama	Aasiaat<Terminalis-KAR-SSA<Causativ<jeg
Aasiannukassagaluarpunga	Aasiaat<Terminalis-KAR-SSA=GALUAR<Indikativ<jeg
