akisussaassuseq	akisussaassuseq<ental<Absolut
akisussaassusiata	akisussaassuseq<ental<deres<Relativ
akisussaassusiata	akisussaassuseq<ental<hans<Relativ
akisussaassutsinni	akisussaassuseq<ental<min<Lokalis
akisussaassusii	akisussaassuseq<flertal<deres<Absolut
akisussaassutsinni	akisussaassuseq<flertal<min<Lokalis
akisussaassusilerpaa	akisussaassuseq-LIR_nv<Indikativ<HanHam
akisussaassusilertippaa	akisussaassuseq-LIR_nv+TIP<Indikativ<HanHam
akisussaassusilertussaavaa	akisussaassuseq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
akisussaassusissaagaluaq	akisussaassuseq-SSAQ=U=GALUAQ<Absolut<ental
akisussaassusissaagaluata	akisussaassuseq-SSAQ=U=GALUAQ<ental<deres<Relativ
akisussaassusissaagaluata	akisussaassuseq-SSAQ=U=GALUAQ<ental<hans<Relativ
akisussaassusissaagaluanni	akisussaassuseq-SSAQ=U=GALUAQ<ental<min<Lokalis
akisussaassusissaagalui	akisussaassuseq-SSAQ=U=GALUAQ<flertal<deres<Absolut
akisussaassusissaagaluanni	akisussaassuseq-SSAQ=U=GALUAQ<flertal<min<Lokalis
allagaq	allagaq<ental<Absolut
allakkanni	allagaq<ental<min<Lokalis
allakkanni	allagaq<flertal<min<Lokalis
allagalerpaa	allagaq-LIR_nv<Indikativ<HanHam
allagalertippaa	allagaq-LIR_nv+TIP<Indikativ<HanHam
allagalertussaavaa	allagaq-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
allagassaagaluaq	allagaq-SSAQ=U=GALUAQ<Absolut<ental
allagassaagaluata	allagaq-SSAQ=U=GALUAQ<ental<deres<Relativ
allagassaagaluata	allagaq-SSAQ=U=GALUAQ<ental<hans<Relativ
allagassaagaluanni	allagaq-SSAQ=U=GALUAQ<ental<min<Lokalis
allagassaagalui	allagaq-SSAQ=U=GALUAQ<flertal<deres<Absolut
allagassaagaluanni	allagaq-SSAQ=U=GALUAQ<flertal<min<Lokalis
allakkeriffik	allakkeri+FIK<ental<Absolut
allakkeriffiata	allakkeri+FIK<ental<hans<Relativ
allakkeriffinni	allakkeri+FIK<flertal<min<Lokalis
allakkeriffilerpaa	allakkeri+FIK-LIR_nv<Indikativ<HanHam
allakkeriffilertippaa	allakkeri+FIK-LIR_nv+TIP<Indikativ<HanHam
allakkeriffissaagaluata	allakkeri+FIK-SSAQ=U=GALUAQ<ental<hans<Relativ
allakkeriffissaagaluanni	allakkeri+FIK-SSAQ=U=GALUAQ<ental<min<Lokalis
allakkeriva	allakkeri<Interrogativ<han
allakkerinerpaaq	allakkeri+NIRPAAQ<ental<Absolut
allakkerinerpaata	allakkeri+NIRPAAQ<ental<deres<Relativ
allakkerinerpaata	allakkeri+NIRPAAQ<ental<hans<Relativ
allakkerinerpaat	allakkeri+NIRPAAQ<flertal<deres<Absolut
allakkerinerpaanni	allakkeri+NIRPAAQ<flertal<min<Lokalis
allakkerinerpaalerpaa	allakkeri+NIRPAAQ-LIR_nv<Indikativ<HanHam
allakkerinerpaalertippaa	allakkeri+NIRPAAQ-LIR_nv+TIP<Indikativ<HanHam
allakkerinerpaalertussaavaa	allakkeri+NIRPAAQ-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
allakkerinerpaassaagaluaq	allakkeri+NIRPAAQ-SSAQ=U=GALUAQ<Absolut<ental
allakkerinerpaassaagaluata	allakkeri+NIRPAAQ-SSAQ=U=GALUAQ<ental<hans<Relativ
allakkerinerpaassaagaluanni	allakkeri+NIRPAAQ-SSAQ=U=GALUAQ<ental<min<Lokalis
allakkerinerpaassaagalui	allakkeri+NIRPAAQ-SSAQ=U=GALUAQ<flertal<deres<Absolut
