aappaatigut	aappaatigut<Partikel
atorfissaqartippatit	atorfissaqartip<Indikativ<DuDem
atorfissaqartippaa	atorfissaqartip<Indikativ<HanHam
atorfissaqartipparput	atorfissaqartip<Indikativ<ViHam
atorfissaqartilluinnarpatit	atorfissaqartip+LUINNAR<Indikativ<DuDem
atorfissaqartilluinnarpaa	atorfissaqartip+LUINNAR<Indikativ<HanHam
atorfissaqartilluinnarparput	atorfissaqartip+LUINNAR<Indikativ<ViHam
atorfissaqarteqaatit	atorfissaqartip-QӘ<Indikativ<DuDem
atorfissaqarteqaa	atorfissaqartip-QӘ<Indikativ<HanHam
atorfissaqarteqaarput	atorfissaqartip-QӘ<Indikativ<ViHam
atorfissaqartittariaqarpatit	atorfissaqartip+TARIAQAR<Indikativ<DuDem
atorfissaqartittariaqarpaa	atorfissaqartip+TARIAQAR<Indikativ<HanHam
atorfissaqartittariaqarparput	atorfissaqartip+TARIAQAR<Indikativ<ViHam
atorfissaqartittorujorujussuuatit	atorfissaqartip+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<DuDem
atorfissaqartittorujorujussuuaa	atorfissaqartip+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<HanHam
atorfissaqartittorujorujussuuarput	atorfissaqartip+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<ViHam
atorfissaqartittorujussuuatit	atorfissaqartip+TUQ=RUJUK=SUAQ=U<Indikativ<DuDem
atorfissaqartittorujussuuaa	atorfissaqartip+TUQ=RUJUK=SUAQ=U<Indikativ<HanHam
atorfissaqartittorujussuuarput	atorfissaqartip+TUQ=RUJUK=SUAQ=U<Indikativ<ViHam
eqqarsartariaaseq	eqqarsartariaaseq<ental<Absolut
eqqarsartariaasiattut	eqqarsartariaaseq<ental<deres<Aequalis
eqqarsartariaatsimik	eqqarsartariaaseq<ental<Instrumentalis
eqqarsartariaatsimeerpoq	eqqarsartariaaseq<ental<Instrumentalis-IR<Indikativ<han
eqqarsartariaatsimeerluinnarpoq	eqqarsartariaaseq<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
eqqarsartariaatsimeertariaqarpoq	eqqarsartariaaseq<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
eqqarsartariaatsiminik	eqqarsartariaaseq<ental<sin<Instrumentalis
eqqarsartariaatsinik	eqqarsartariaaseq<flertal<Instrumentalis
eqqarsartariaatsineerpoq	eqqarsartariaaseq<flertal<Instrumentalis-IR<Indikativ<han
eqqarsartariaatsineerluinnarpoq	eqqarsartariaaseq<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
eqqarsartariaatsineertariaqarpoq	eqqarsartariaaseq<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
eqqarsartariaatsiminik	eqqarsartariaaseq<flertal<sin<Instrumentalis
eqqarsartariaasiku	eqqarsartariaaseq-KU<ental<Absolut
eqqarsartariaasikuattut	eqqarsartariaaseq-KU<ental<deres<Aequalis
