aallaratta	aallar<Causativ<vi
aallarpallaarpa	aallar+VALLAAR<Interrogativ<han
aappariivi	aappaq+GIIT<flertal<deres<Absolut
aappariinnguinnarneratali	aappaq+GIIT-NNGUR-INNAR+NIQ<ental<deres<Relativ+LI
aapparpassuaminilli	aappaq+PASSUAQ<flertal<sin<Instrumentalis+LI
aap	aap<Partikel
aalluunniit	aap<Partikel+LUUNNIIT
aapuna	aap<Partikel+UNA
aasariilinngilalli	aasaq+GIIT-LIR_nv-NNGIT<Indikativ<DuHam+LI
Aasiaat	Aasiaat<Absolut
Aasiaalli	Aasiaat<Absolut+LI
Aasiaalluunniit	Aasiaat<Absolut+LUUNNIIT
Aasiaanuna	Aasiaat<Absolut+UNA
Aasiannik	Aasiaat<Instrumentalis
Aasiannilli	Aasiaat<Instrumentalis+LI
Aasiannilluunniit	Aasiaat<Instrumentalis+LUUNNIIT
Aasianninguna	Aasiaat<Instrumentalis+UNA
Aasianni	Aasiaat<Lokalis
Aasianneeqqaarpoq	Aasiaat<Lokalis+IP-QQAAR<Indikativ<han
Aasianneeqqaarlutilli	Aasiaat<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LI
Aasiammiunilli	Aasiaat+MIU<flertal<Instrumentalis+LI
Aasiammiuninguna	Aasiaat+MIU<flertal<Instrumentalis+UNA
Aasiammiuneeqqaarlutillu	Aasiaat+MIU<flertal<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LU
Aasiammiulererusuppisi	Aasiaat+MIU-LIRI+GUSUP<Interrogativ<I
Aasiammiunnguinnarpugullu	Aasiaat+MIU-NNGUR-INNAR<Indikativ<vi+LU
Aasiammiunngulernerpaaminik	Aasiaat+MIU-NNGUR-LIR+NIRPAAQ<ental<sin<Instrumentalis
Aasiammiunngunngitsorujoqassavisi	Aasiaat+MIU-NNGUR-NNGIT+TUQ-RUJUK-QAR-SSA<Interrogativ<I
Aasiammiunngussagaluarnini	Aasiaat+MIU-NNGUR-SSA=GALUAR+NIQ<ental<sin<Absolut
Aasiammioqarpoq	Aasiaat+MIU-QAR<Indikativ<han
Aasiammioqarporli	Aasiaat+MIU-QAR<Indikativ<han+LI
Aasiammioqarporluunniit	Aasiaat+MIU-QAR<Indikativ<han+LUUNNIIT
Aasiammioqarnerlu	Aasiaat+MIU-QAR+NIQ<ental<Absolut+LU
Aasiammioqartoq	Aasiaat+MIU-QAR<Participium<han
Aasiammioqartoq	Aasiaat+MIU-QAR+TUQ<ental<Absolut
Aasiammioqartorluunniit	Aasiaat+MIU-QAR+TUQ<ental<Absolut+LUUNNIIT
Aasiammioorusummat	Aasiaat+MIU-U+GUSUP<Causativ<han
Aasiammioorusukkamali	Aasiaat+MIU-U+GUSUP<Causativ<jeg+LI
Aasiammioorusuffinguna	Aasiaat+MIU-U+GUSUP+FIK<ental<Absolut+UNA
Aasiammiuunikuufferujooqqaarporli	Aasiaat+MIU-U+NIKUU+FIK-RUJUK-U-QQAAR<Indikativ<han+LI
Aasiammiuunngillalluunniit	Aasiaat+MIU-U-NNGIT<Indikativ<de+LUUNNIIT
Aasiammiooqqaarpit	Aasiaat+MIU-U-QQAAR<Interrogativ<du
Aasiammiooqqaarneralli	Aasiaat+MIU-U-QQAAR+NIQ<ental<deres+LI
Aasiammiooqqaarninilu	Aasiaat+MIU-U-QQAAR+NIQ<ental<sin<Absolut+LU
Aasiammiooqisut	Aasiaat+MIU-U-QӘ<Participium<de
Aasiammiuuittuneeqqullungali	Aasiaat+MIU-U-VIP+TUQ<flertal<Instrumentalis-IR-QQU<Ledsagemåde<mig+LI
Aasiannut	Aasiaat<Terminalis
Aasiannukalaarpit	Aasiaat<Terminalis-KAR-LAAR<Interrogativ<du
Aasiannukalaartarmatali	Aasiaat<Terminalis-KAR-LAAR=TAR<Causativ<de+LI
Aasiannukariarlutillu	Aasiaat<Terminalis-KAR-RIAR<Ledsagemåde<de_selv+LU
Aasiannullu	Aasiaat<Terminalis+LU
Aasiannulluunniit	Aasiaat<Terminalis+LUUNNIIT
Aasiannununa	Aasiaat<Terminalis+UNA
affaq	affaq<ental<Absolut
affarli	affaq<ental<Absolut+LI
affara	affaq<ental<min<Absolut
affaalli	affaq<flertal<deres<Absolut+LI
affaatuna	affaq<flertal<deres<Absolut+UNA
affaniissagaluarlutik	affaq<flertal<Instrumentalis-IR-SSA=GALUAR<Ledsagemåde<de_selv
affarisussaallugillu	affaq+GӘ+TUQ=SSAQ=U<Ledsagemåde<dem+LU
affakunngunnginnatta	affaq-KU-NNGUR-NNGIT<Causativ<vi
