##GLOSSELISTE - gloser##
Ilisimatusarfik	Grønlands universitet
Kalaallit Nunaat	Grønland
SULI	endnu/ stadigvæk
aamma	også
aallar	at afrejse
aallartip	at starte
aap	ja
aappaagu	næste år
aappaatigut	på den anden side
aappaq	en anden
aasaq	en sommer
affaq	en halv
akisooq	dyr
akisussaassuseq	et ansvar
akueri	at godkende det
aleqa	en drengs storesøster
alla	en anden
allagaq	et brev
allakkeri	at behandle post
anaana	en mor
angajoqqaaq	en forælder
angaju	en piges storesøster/ en drengs storebror
angajulleq	den ældste
angut	en mand
ani	en piges storebror
aqqalu	en piges lillebror
aqqanillit	11
aqqutigi	at bruge det som sin vej
arfineq-pingasut	otte
arnaq	en kvinde
arnaq	en kvinde
assersuut	et eksempel
assorsuaq	vældigt meget
assut	meget
ataaseq	en
ataata	en far
atassut	en forbindelse
ateq	et navn
ateqar	at hedde
ator	at bruge den
ator	at bruges
atorfissaqartip	at behøve ham
atuakkialerineq	litteratur
atuar	at læse
avip	at skilles
eqqaama	at huske det
eqqaq	tæt på POSSESSOR
eqqarsaatigi	at tænke på det
eqqarsartariaaseq	en tankegang
eqqumiip	at være mærkelig
eqqumiitsuliortoq	en kunstner
erneq	en søn
erniinnaq	snart
ersi	at være bange
fiister	at feste
guitarer	at spille guitar
ikiorti	en medhjælper
ila	en fælle
ilaa	ikke sandt
ilagi	at være sammen med ham
ilami	forresten
ilaqutariit	en familie
ilimagi	at forvente det
ilinniar	at studere
ilinniarnertooq	en student
ilinniarnertuunngorniarfik	et gymnasium
ilinniartip	at undervise nogen
ilinniartitaaneq	en uddannelse
ilinniartitsisoq	en lærer
illoqarfik	en by
illu	et hus
imaap	at være således
imatut	således
imer	at drikke
immaqa	måske
immikkoortoq	et afsnit
immikkut	specielt
immiussi	at optage
inequnar	at være sød
inersimasoq	en voksen
ingerla	at bevæge sig
ingerlaannaq	straks
ingerlap	at arbejde med det
innaallagissiorfik	et elværk
inuk	et menneske
inunngor	at fødes
inuttassarsiuussineq	et stillingsopslag
inuu	at leve
inuuik	en fødselsdag
inuusuttoq	en ung
isi	et øje
isuma	en tanke
isumaqar	at tænke
isumaqatigiissutigi	at være enige om det
januaari	januar
kalaaleq	en grønlænder
kalaallisut	på grønlandsk
kapitali	et kapitel
kiisa	endelig
kingulleq	den sidste/ den forrige
kisimi	han alene
kitә	vest for POSSESSOR
kunngi	en konge
maaji	maj
maani	her
makku	disse
malip	at følge ham
manna 	denne
marluk	to
marluliaq	en tvilling
massakkut	nu
meeqqerivik	en børnehave
meeraq	et barn
mittarfik	en lufthavn
naammassi	at afslutte det
naja	en drengs lillesøster
najugaq	en bolig
najugaqar	at bo
nakkar	at falde ned
nalә	en retning
naleqartitaq	en værdi
nalu	ikke at vide det
nalunar	at være usikker
nammineq	selv
nangip	at fortsætte det
nassiussaq	en forsendelse
nassuiar	at forklare det
niller	at være kold
nipilersor	at spille musik
nuannari	at være glad for ham
nujaq	et hår
nuka	en piges lillesøster/ en drengs lillebror
nukappiaraq	en dreng
nukarleq	den yngste
nukik	en kraft
nuliaq	en kone
nuna	et land
nutaaq	en ny
nutserisoq	en oversætter
nuup	at flytte
oqaaseq	et ord
oqaasilerineq	sprogvidenskab
oqaasilerisoq	en sprogforsker
oqaluttuaq	en fortælling
oqaluttuar	at fortælle
oqaluttuari	at fortælle det
