taanna	TA+una+Gram/Dem+Pron+Abs+Sg
taannali	TA+una+Gram/Dem+Pron+Abs+Sg+LI
taannalu	TA+una+Gram/Dem+Pron+Abs+Sg+LU
whiskytussavilli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg+LI
whiskytussavillu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg+LU
whiskytussavit	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg
whiskytussanngilaq	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg
whiskytussanngilarli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
whiskytussanngilarlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
whiskytussanngilanga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg
whiskytussanngilangali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
whiskytussanngilangalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
whiskytussanngilatilli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
whiskytussanngilatillu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
whiskytussanngilatit	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg
whiskytussaaq	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg
whiskytussaarli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg+LI
whiskytussaarlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg+LU
whiskytussaanga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg
whiskytussaangali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg+LI
whiskytussaangalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg+LU
whiskytunngilaq	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+3Sg
whiskytunngilarli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+3Sg+LI
whiskytunngilarlu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+3Sg+LU
whiskytunngilanga	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+1Sg
whiskytunngilangali	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+1Sg+LI
whiskytunngilangalu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+1Sg+LU
whiskytunngilatilli	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Int+2Sg+LI
whiskytunngilatillu	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Int+2Sg+LU
whiskytunngilatit	whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Int+2Sg
whiskytorpilli	whisky+Sem/drink-h+OLang/DAN+TUR+V+Int+2Sg+LI
whiskytorpillu	whisky+Sem/drink-h+OLang/DAN+TUR+V+Int+2Sg+LU
whiskytorpit	whisky+Sem/drink-h+OLang/DAN+TUR+V+Int+2Sg
whiskytorpoq	whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+3Sg
whiskytorporli	whisky+Sem/drink-h+OLang/DAN+TUR+V+Ind+3Sg+LI
