Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+Abl+Pl+LI	Aasiannilli
Aasiaat+Sem/Geo+Prop+Abl+Pl+LU	Aasiannillu
Aasiaat+Sem/Geo+Prop+Abs+Pl	Aasiaat
Aasiaat+Sem/Geo+Prop+Ins+Pl	Aasiannik
Aasiaat+Sem/Geo+Prop+Ins+Pl+LI	Aasiannilli
Aasiaat+Sem/Geo+Prop+Ins+Pl+LU	Aasiannillu
Aasiaat+Sem/Geo+Prop+Lok+Pl	Aasianni
Aasiaat+Sem/Geo+Prop+Lok+Pl+LI	Aasiannili
Aasiaat+Sem/Geo+Prop+Lok+Pl+LU	Aasiannilu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+N+Abs+Sg	Aasiammiu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+N+Abs+Sg+LI	Aasiammiuli
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+N+Abs+Sg+LU	Aasiammiulu
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+GALUAR+V+Ind+3Sg	Aasiammioqaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioqanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+NNGIT+V+Ind+3Sg	Aasiammioqanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+SSA+GALUAR+V+Ind+3Sg	Aasiammioqassagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+SSA+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioqassanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+SSA+NNGIT+V+Ind+3Sg	Aasiammioqassanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+SSA+V+Ind+3Sg	Aasiammioqassaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+GALUAR+V+Ind+3Sg	Aasiammioqartaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioqartanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+NNGIT+V+Ind+3Sg	Aasiammioqartanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+SSA+GALUAR+V+Ind+3Sg	Aasiammioqartassagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+SSA+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioqartassanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+SSA+NNGIT+V+Ind+3Sg	Aasiammioqartassanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+SSA+V+Ind+3Sg	Aasiammioqartassaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+TAR+V+Ind+3Sg	Aasiammioqartarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+QAR+V+Ind+3Sg	Aasiammioqarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GALUAR+V+Ind+1Pl	Aasiammiuugaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GALUAR+V+Ind+1Sg	Aasiammiuugaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GALUAR+V+Ind+3Sg	Aasiammiuugaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GALUAR+V+Int+2Sg	Aasiammiuugaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Ind+1Pl	Aasiammioorusukkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Ind+1Sg	Aasiammioorusukkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Ind+3Sg	Aasiammioorusukkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+GALUAR+V+Int+2Sg	Aasiammioorusukkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+1Pl	Aasiammioorusunngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+1Sg	Aasiammioorusunngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioorusunngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+GALUAR+V+Int+2Sg	Aasiammioorusunngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+V+Ind+1Pl	Aasiammioorusunngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Aasiammioorusunngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Aasiammioorusunngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Aasiammioorusunngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+1Pl	Aasiammioorusussagaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+1Sg	Aasiammioorusussagaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Ind+3Sg	Aasiammioorusussagaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+GALUAR+V+Int+2Sg	Aasiammioorusussagaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+1Pl	Aasiammioorusussanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+1Sg	Aasiammioorusussanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioorusussanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+GALUAR+V+Int+2Sg	Aasiammioorusussanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Pl	Aasiammioorusussanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	Aasiammioorusussanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Aasiammioorusussanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	Aasiammioorusussanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+1Pl	Aasiammioorusussaagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Aasiammioorusussaanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Aasiammioorusussaaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+SSA+V+Int+2Sg	Aasiammioorusussavit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Pl	Aasiammioorusuttaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+1Sg	Aasiammioorusuttaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Ind+3Sg	Aasiammioorusuttaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+GALUAR+V+Int+2Sg	Aasiammioorusuttaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammioorusuttanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammioorusuttanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+GUSUP+Sem/wish+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammioorusuttanngikkaluarpoq
