TA+una+Gram/Dem+Pron+Abs+Sg	taanna
TA+una+Gram/Dem+Pron+Abs+Sg+LI	taannali
TA+una+Gram/Dem+Pron+Abs+Sg+LU	taannalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg+LI	whiskytussavilli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg+LU	whiskytussavillu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Int+2Sg	whiskytussavit
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg	whiskytussanngilaq
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	whiskytussanngilarli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	whiskytussanngilarlu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg	whiskytussanngilanga
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	whiskytussanngilangali
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	whiskytussanngilangalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	whiskytussanngilatilli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	whiskytussanngilatillu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg	whiskytussanngilatit
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg	whiskytussaaq
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg+LI	whiskytussaarli
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+3Sg+LU	whiskytussaarlu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg	whiskytussaanga
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg+LI	whiskytussaangali
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+SSA+V+Ind+1Sg+LU	whiskytussaangalu
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+3Sg	whiskytunngilaq
whisky+Sem/drink-h+OLang/DAN+TUR+Gram/IV+NNGIT+V+Ind+3Sg+LI	whiskytunngilarli
